index,Member,Party,State,Chamber,Raised,Spent,Cash on Hand,Debts
269,Jon Ossoff,Democratic,Georgia,Senate,"$10,260,242","$12,275,027","$2,316,948",$0
270,Jon Tester,Democratic,Montana,Senate,"$2,335,296","$900,741","$2,480,084",$0
271,Joni Ernst,Republican,Iowa,Senate,"$1,642,695","$1,169,059","$1,002,050",$0
272,Joseph Morelle,Democratic,New York,House,"$1,775,246","$1,262,551","$672,870",$0
273,Joe Neguse,Democratic,Colorado,House,"$2,099,507","$1,148,462","$1,844,549",$0
274,Josh Gottheimer,Democratic,New Jersey,House,"$7,720,264","$2,045,198","$14,024,163",$0
275,Josh Harder,Democratic,California,House,"$6,193,616","$5,122,224","$4,541,154",$0
276,Josh Hawley,Republican,Missouri,Senate,"$11,028,757","$8,426,682","$4,040,790",$0
277,Joyce Beatty,Democratic,Ohio,House,"$2,027,765","$845,770","$2,138,584","$2,500"
278,Juan Vargas,Democratic,California,House,"$905,730","$582,443","$393,026",$0
279,Judy Chu,Democratic,California,House,"$1,275,434","$854,516","$3,202,686","$2,705"
280,Julia Brownley,Democratic,California,House,"$1,998,752","$2,309,786","$2,802,396",$0
281,Julia Letlow,Republican,Louisiana,House,"$2,620,536","$1,458,271","$1,162,265",$0
282,Kai Kahele,Democratic,Hawaii,House,"$463,256","$622,946","$33,696",$0
283,Kamala Harris,Democratic,California,Senate,$0,$0,$0,$0
284,Karen Bass,Democratic,California,House,"$507,962","$791,486","$1,042,340",$0
285,Kat Cammack,Republican,Florida,House,"$2,091,623","$1,708,461","$415,015",$0
286,Katherine Clark,Democratic,Massachusetts,House,"$2,002,236","$2,104,697","$1,190,314",$0
287,Kathleen Rice,Democratic,New York,House,"$466,705","$584,768","$71,781",$0
288,Kathy Castor,Democratic,Florida,House,"$1,432,885","$880,523","$975,764",$0
289,Kathy Manning,Democratic,North Carolina,House,"$2,692,609","$1,874,537","$1,130,411","$250,000"
290,Katie Porter,Democratic,California,House,"$21,441,693","$15,946,876","$15,762,568",$0
291,Kay Granger,Republican,Texas,House,"$1,846,695","$1,623,165","$534,195",$0
292,Kelly Armstrong,Republican,North Dakota,House,"$1,794,452","$1,370,986","$729,173","$200,000"
293,Ken Buck,Republican,Colorado,House,"$1,375,514","$1,142,475","$523,705",$0
294,Ken Calvert,Republican,California,House,"$3,077,072","$2,371,953","$1,115,717","$11,787"
295,Kevin Brady,Republican,Texas,House,"$273,024","$730,606","$645,085",$0
296,Kevin Cramer,Republican,North Dakota,Senate,"$458,054","$324,173","$352,272",$0
297,Kevin Hern,Republican,Oklahoma,House,"$1,167,360","$771,398","$725,359","$775,000"
298,Kevin McCarthy,Republican,California,House,"$24,791,538","$22,086,344","$7,507,326",$0
299,Kim Schrier,Democratic,Washington,House,"$8,163,575","$7,548,005","$2,333,322",$0
300,Kirsten Gillibrand,Democratic,New York,Senate,"$3,301,708","$651,381","$4,392,753",$0
301,Kurt Schrader,Democratic,Oregon,House,"$2,244,429","$4,680,564","$80,364",$0
302,Kweisi Mfume,Democratic,Maryland,House,"$452,659","$244,657","$509,104",$0
303,Kyrsten Sinema,Democratic,Arizona,Senate,"$7,112,616","$1,691,482","$7,876,875",$0
304,Lance Gooden,Republican,Texas,House,"$814,098","$882,850","$383,782",$0
305,Larry Bucshon,Republican,Indiana,House,"$1,296,300","$888,047","$615,172","$2,362"
306,Lauren Underwood,Democratic,Illinois,House,"$6,175,563","$3,787,920","$2,925,541",$0
307,Lauren Boebert,Republican,Colorado,House,"$6,227,355","$4,659,808","$1,924,341",$0
308,Lee Zeldin,Republican,New York,House,"$766,924","$922,007","$16,354",$0
309,Linda S치nchez,Democratic,California,House,"$1,403,194","$1,298,816","$945,360",$0
310,Lindsey Graham,Republican,South Carolina,Senate,"$6,695,582","$5,371,524","$13,815,515",$0
311,Lisa Blunt Rochester,Democratic,Delaware,House,"$2,543,199","$1,746,273","$1,760,692","$346,040"
312,Lisa McClain,Republican,Michigan,House,"$1,189,244","$337,384","$900,015",$0
313,Lisa Murkowski,Republican,Alaska,Senate,"$8,559,805","$6,057,395","$3,526,355",$0
314,Liz Cheney,Republican,Wyoming,House,$0,$0,$0,$0
315,Lizzie Fletcher,Democratic,Texas,House,"$3,412,257","$1,217,624","$2,255,729",$0
316,Lloyd Doggett,Democratic,Texas,House,"$1,131,363","$1,239,741","$5,097,097",$0
317,Lloyd Smucker,Republican,Pennsylvania,House,"$1,407,018","$825,428","$1,278,365","$49,208"
318,Lois Frankel,Democratic,Florida,House,"$1,117,075","$827,680","$1,481,566",$0
319,Lori Trahan,Democratic,Massachusetts,House,"$1,812,003","$766,481","$1,331,485",$0
320,Lou Correa,Democratic,California,House,"$1,174,363","$632,506","$1,687,557","$25,467"
321,Louis B. Gohmert Jr.,Republican,Texas,House,"$206,591","$280,040","$20,251",$0
322,Lucille Roybal-Allard,Democratic,California,House,"$168,660","$159,810","$47,393",$0
323,Lucy McBath,Democratic,Georgia,House,"$5,042,351","$4,374,448","$807,831",$0
324,Madeleine Dean,Democratic,Pennsylvania,House,"$1,727,651","$1,120,169","$1,182,075",$0
325,Madison Cawthorn,Republican,North Carolina,House,"$3,965,149","$4,058,668","$12,211",$0
326,Maggie Hassan,Democratic,New Hampshire,Senate,"$30,914,830","$28,380,992","$4,813,508",$0
327,Marc Veasey,Democratic,Texas,House,"$1,652,257","$1,283,856","$836,744",$0
328,Marco Rubio,Republican,Florida,Senate,"$36,709,285","$30,153,111","$9,631,856",$0
329,Marcy Kaptur,Democratic,Ohio,House,"$2,855,041","$2,478,802","$1,148,634",$0
330,Maria Cantwell,Democratic,Washington,Senate,"$686,777","$902,774","$179,611","$2,171,350"
331,Maria Salazar,Republican,Florida,House,"$4,516,392","$2,613,085","$1,924,564","$78,856"
332,Mariannette Miller-Meeks,Republican,Iowa,House,"$4,225,010","$2,617,278","$2,060,145","$186,500"
333,Marie Newman,Democratic,Illinois,House,"$1,449,001","$1,530,297","$21,544","$10,642"
334,Marilyn Strickland,Democratic,Washington,House,"$1,718,171","$827,196","$923,000","$50,000"
335,Mario Diaz-Balart,Republican,Florida,House,"$1,584,197","$959,585","$1,557,856",$0
336,Marjorie Taylor Greene,Republican,Georgia,House,"$11,571,029","$9,713,658","$2,228,902","$950,000"
337,Mark Amodei,Republican,Nevada,House,"$924,763","$1,081,270","$167,808","$9,000"
338,Mark Desaulnier,Democratic,California,House,"$566,400","$442,749","$605,038",$0
339,Mark Green,Republican,Tennessee,House,"$1,447,075","$1,544,369","$176,911",$0
340,Mark Kelly,Democratic,Arizona,Senate,"$73,140,886","$61,357,281","$13,186,127",$0
341,Mark Pocan,Democratic,Wisconsin,House,"$1,000,923","$850,344","$1,001,591",$0
342,Mark Takano,Democratic,California,House,"$1,123,015","$731,370","$555,609",$0
343,Mark Warner,Democratic,Virginia,Senate,"$2,563,285","$729,334","$2,222,361",$0
344,Markwayne Mullin,Republican,Oklahoma,House,"$4,466,785","$4,642,810","$434,285","$1,230,810"
345,Marsha Blackburn,Republican,Tennessee,Senate,"$2,561,756","$1,070,457","$3,172,197",$0
346,Martin Heinrich,Democratic,New Mexico,Senate,"$1,403,676","$984,961","$890,650",$0
347,Mary Gay Scanlon,Democratic,Pennsylvania,House,"$1,434,559","$1,037,461","$615,776","$250,000"
348,Mary Miller,Republican,Illinois,House,"$1,869,196","$1,679,404","$308,492",$0
349,Mary Peltola,Democratic,Alaska,House,"$4,163,482","$1,897,681","$2,265,800",$0
350,Matt Cartwright,Democratic,Pennsylvania,House,"$4,604,399","$3,511,552","$1,263,713","$242,800"
351,Matt Gaetz,Republican,Florida,House,"$5,929,700","$6,878,447","$657,078",$0
352,Matt Rosendale,Republican,Montana,House,"$1,977,326","$1,103,300","$1,136,865",$0
353,Maxine Waters,Democratic,California,House,"$1,117,733","$1,169,917","$268,683","$45,293"
354,Mayra Flores,Republican,Texas,House,"$3,305,211","$2,505,998","$799,212",$0
355,Mazie K. Hirono,Democratic,Hawaii,Senate,"$640,039","$647,254","$836,625",$0
356,Melanie Stansbury,Democratic,New Mexico,House,"$3,211,215","$2,881,729","$380,609",$0
357,Michael Bennet,Democratic,Colorado,Senate,"$18,086,343","$13,713,611","$4,898,614","$374,819"
358,Michael Burgess,Republican,Texas,House,"$1,159,191","$1,066,159","$235,528",$0
359,Michael Cloud,Republican,Texas,House,"$975,508","$914,954","$302,925",$0
360,Michael Guest,Republican,Mississippi,House,"$1,240,555","$1,378,472","$144,151",$0
361,Michael McCaul,Republican,Texas,House,"$2,265,809","$1,896,999","$376,543",$0
362,Michael Turner,Republican,Ohio,House,"$1,349,285","$703,942","$722,683",$0
363,Michael San Nicolas,Democratic,Guam,Senate,"$13,025","$17,683","$16,205","$14,303"
364,Michael Waltz,Republican,Florida,House,"$2,728,460","$2,447,258","$1,165,661",$0
365,Michelle Fischbach,Republican,Minnesota,House,"$1,515,656","$1,140,241","$413,364",$0
366,Michelle Steel,Republican,California,House,"$6,258,368","$4,493,801","$1,921,641","$470,573"
367,Mike Bost,Republican,Illinois,House,"$1,500,937","$995,497","$919,230",$0
368,Mike Braun,Republican,Indiana,Senate,"$1,269,505","$559,052","$1,261,125","$341,069"
369,Mike Carey,Republican,Ohio,House,"$2,181,022","$2,025,581","$155,440",$0
370,Mike Crapo,Republican,Idaho,Senate,"$4,182,600","$3,899,937","$4,365,054",$0
371,Mike Rogers,Republican,Alabama,House,"$1,788,743","$1,368,622","$922,354",$0
372,Mike Doyle,Democratic,Pennsylvania,House,"$166,850","$354,781","$77,965",$0
373,Mike Gallagher,Republican,Wisconsin,House,"$2,940,815","$1,130,175","$2,980,001",$0
374,Mike Garcia,Republican,California,House,"$6,128,156","$4,621,964","$1,884,050","$169,894"
375,Mike Johnson,Republican,Louisiana,House,"$1,276,358","$1,039,697","$906,346",$0
376,Mike Kelly,Republican,Pennsylvania,House,"$1,180,269","$865,325","$1,273,468","$95,000"
377,Mike Lee,Republican,Utah,Senate,"$7,703,753","$6,837,453","$1,415,684",$0
378,Mike Levin,Democratic,California,House,"$4,448,589","$3,933,903","$2,016,947","$5,000"
379,Mike Quigley,Democratic,Illinois,House,"$963,237","$683,359","$1,302,225",$0
380,Mike Rounds,Republican,South Dakota,Senate,"$138,756","$476,486","$1,344,792",$0
381,Mike Simpson,Republican,Idaho,House,"$1,547,000","$1,534,292","$189,022",$0
382,Mike Thompson,Democratic,California,House,"$2,000,373","$1,899,090","$1,847,454","$20,794"
383,Mikie Sherrill,Democratic,New Jersey,House,"$5,622,081","$5,381,147","$3,372,654",$0
384,Mitch McConnell,Republican,Kentucky,Senate,"$5,503,392","$4,543,999","$7,771,094",$0
385,Mitt Romney,Republican,Utah,Senate,"$474,786","$608,948","$467,216",$0
386,Mo Brooks,Republican,Alabama,House,"$3,148,542","$4,270,401","$15,641",$0
387,Mondaire Jones,Democratic,New York,House,"$3,013,074","$3,724,475","$86,188",$0
388,Morgan Griffith,Republican,Virginia,House,"$720,632","$561,948","$580,125",$0
389,Nancy Mace,Republican,South Carolina,House,"$5,119,356","$4,381,625","$797,217",$100
390,Nancy Pelosi,Democratic,California,House,"$22,216,583","$21,814,643","$6,701,313",$0
391,Nanette Barrag치n,Democratic,California,House,"$1,107,829","$561,441","$1,597,139",$0
392,Neal Dunn,Republican,Florida,House,"$1,531,504","$1,130,495","$803,071","$303,284"
393,Nicole Malliotakis,Republican,New York,House,"$4,260,780","$2,760,113","$1,523,610",$0
394,Nikema Williams,Democratic,Georgia,House,"$1,066,976","$1,162,211","$95,928",$0
395,Norma Torres,Democratic,California,House,"$677,046","$486,938","$397,761","$2,243"
396,Nydia Velazquez,Democratic,New York,House,"$543,105","$526,529","$326,957","$7,736"
397,Pat Ryan,Democratic,New York,House,"$3,352,245","$2,799,498","$553,243",$0
398,Pat Toomey,Republican,Pennsylvania,Senate,"$13,254","$394,707","$1,103,643",$0
399,Pat Fallon,Republican,Texas,House,"$730,885","$704,310","$188,683","$25,000"
400,Patrick Leahy,Democratic,Vermont,Senate,"$812,657","$825,290","$1,486,031",$0
401,Patrick McHenry,Republican,North Carolina,House,"$3,471,514","$3,052,628","$2,125,855",$0
402,Patty Murray,Democratic,Washington,Senate,"$13,377,243","$13,073,248","$3,786,960",$0
403,Paul Gosar,Republican,Arizona,House,"$737,101","$711,469","$39,380",$0
404,Paul Tonko,Democratic,New York,House,"$1,661,023","$1,476,649","$996,034",$0
405,Pete Aguilar,Democratic,California,House,"$2,916,586","$2,421,160","$2,335,020",$0
406,Pete Sessions,Republican,Texas,House,"$876,121","$732,508","$309,602","$120,000"
407,Pete Stauber,Republican,Minnesota,House,"$2,279,020","$1,181,123","$1,100,665",$0
408,Peter DeFazio,Democratic,Oregon,House,$0,$0,$0,$0
409,Peter Meijer,Republican,Michigan,House,"$2,399,884","$2,381,236","$106,846","$480,000"
410,Peter Welch,Democratic,Vermont,House,"$5,143,410","$2,456,802","$2,686,607",$0
411,Pramila Jayapal,Democratic,Washington,House,"$2,533,189","$1,700,676","$2,616,125",$0
412,Raja Krishnamoorthi,Democratic,Illinois,House,"$7,843,935","$4,638,387","$11,633,394",$0
413,Ralph Norman,Republican,South Carolina,House,"$306,434","$508,078","$526,295",$0
414,Rand Paul,Republican,Kentucky,Senate,"$22,490,627","$15,865,010","$8,308,644",$0
415,Randy Feenstra,Republican,Iowa,House,"$2,664,811","$1,505,476","$1,171,281",$0
416,Randy Weber,Republican,Texas,House,"$921,792","$873,717","$519,482","$124,000"
417,Raphael Warnock,Democratic,Georgia,Senate,"$86,581,469","$75,959,810","$22,762,985",$0
418,Rashida Tlaib,Democratic,Michigan,House,"$3,105,241","$3,070,877","$426,096",$0
419,Raul Grijalva,Democratic,Arizona,House,"$549,117","$412,910","$362,415","$4,015"
420,Raul Ruiz,Democratic,California,House,"$2,099,148","$1,785,769","$2,629,550",$0
421,Richard Blumenthal,Democratic,Connecticut,Senate,"$6,871,179","$6,230,804","$4,544,418",$0
422,Richard Burr,Republican,North Carolina,Senate,"$145,474","$208,721","$3,322",$0
423,Richard Shelby,Republican,Alabama,Senate,"$20,520","$226,622","$9,558,166",$0
424,Richard Neal,Democratic,Massachusetts,House,"$3,163,938","$2,089,988","$3,458,513",$0
425,Richard Hudson,Republican,North Carolina,House,"$2,846,323","$1,559,526","$1,517,715",$0
426,Rick Allen,Republican,Georgia,House,"$856,257","$607,298","$895,868","$1,125,000"
427,Rick Crawford,Republican,Arkansas,House,"$979,267","$543,708","$618,266",$0
428,Rick Larsen,Democratic,Washington,House,"$1,516,417","$1,142,747","$702,871",$0
429,Rick Scott,Republican,Florida,Senate,"$4,731,925","$5,672,380","$1,212,013","$1,000,000"
430,Ritchie Torres,Democratic,New York,House,"$4,080,074","$806,930","$3,662,833",$0
431,Ro Khanna,Democratic,California,House,"$5,550,174","$2,408,297","$5,403,004","$89,348"
432,Rob Portman,Republican,Ohio,Senate,"-$1,386,356","$386,217","$3,237,052",$0
433,Rob Wittman,Republican,Virginia,House,"$1,859,691","$1,134,994","$912,028",$0
434,Robert Aderholt,Republican,Alabama,House,"$1,385,034","$647,570","$1,384,467",$0
435,Bob Menendez,Democratic,New Jersey,Senate,"$4,598,365","$679,677","$5,219,723",$0
436,Robin Kelly,Democratic,Illinois,House,"$1,562,228","$1,094,311","$1,482,329",$0
437,Rodney Davis,Republican,Illinois,House,"$3,304,702","$3,406,429","$38,708",$0
438,Roger Marshall,Republican,Kansas,Senate,"$605,073","$392,087","$422,944","$97,000"
439,Roger Wicker,Republican,Mississippi,Senate,"$1,386,724","$756,088","$2,318,412",$0
440,Roger Williams,Republican,Texas,House,"$1,589,224","$1,231,307","$369,458","$47,900"
441,Ron Estes,Republican,Kansas,House,"$1,674,579","$1,075,157","$1,443,586",$0
442,Ron Johnson,Republican,Wisconsin,Senate,"$27,680,901","$23,731,653","$4,508,581","$11,759,857"
443,Ron Kind,Democratic,Wisconsin,House,"$587,143","$695,941","$768,373",$0
444,Ron Wyden,Democratic,Oregon,Senate,"$10,024,604","$6,264,627","$5,986,323",$0
445,Ronny Jackson,Republican,Texas,House,"$4,442,159","$3,782,300","$1,046,998",$0
446,Rosa DeLauro,Democratic,Connecticut,House,"$1,895,941","$1,211,915","$843,754",$0
447,Roy Blunt,Republican,Missouri,Senate,"-$367,162","$513,399","$861,989",$0
448,Ruben Gallego,Democratic,Arizona,House,"$2,153,850","$1,416,479","$1,354,341",$0
449,Russ Fulcher,Republican,Idaho,House,"$479,167","$383,652","$198,346",$0
450,Salud Carbajal,Democratic,California,House,"$2,031,545","$906,948","$2,525,300",$0
451,Sam Graves,Republican,Missouri,House,"$2,005,290","$1,507,525","$1,354,737","$43,683"
452,Sanford Bishop Jr.,Democratic,Georgia,House,"$2,680,786","$1,832,607","$1,040,707",$0
453,Sara Jacobs,Democratic,California,House,"$1,584,377","$1,432,530","$254,013",$0
454,Scott Desjarlais,Republican,Tennessee,House,"$141,458","$140,755","$303,352",$0
455,Scott Fitzgerald,Republican,Wisconsin,House,"$919,350","$684,771","$421,894",$0
456,Scott Franklin,Republican,Florida,House,"$972,575","$601,487","$396,568","$422,762"
457,Scott Perry,Republican,Pennsylvania,House,"$2,529,397","$1,546,285","$1,150,812","$119,566"
458,Scott Peters,Democratic,California,House,"$2,227,355","$1,978,300","$1,830,173","$170,760"
459,Sean Casten,Democratic,Illinois,House,"$4,650,448","$4,206,412","$790,173","$75,694"
460,Sean Maloney,Democratic,New York,House,"$4,717,097","$4,620,358","$956,740",$903
461,Seth Moulton,Democratic,Massachusetts,House,"$1,867,651","$1,379,427","$733,892",$0
462,Sharice Davids,Democratic,Kansas,House,"$6,717,662","$5,671,654","$1,525,158",$0
463,Sheila Cherfilus-McCormick,Democratic,Florida,House,"$4,250,064","$4,276,527","$13,498","$3,848,131"
464,Sheila Jackson Lee,Democratic,Texas,House,"$761,516","$488,238","$537,223",$0
465,Sheldon Whitehouse,Democratic,Rhode Island,Senate,"$1,373,474","$645,659","$1,247,257",$0
466,Shelley Moore Capito,Republican,West Virginia,Senate,"$707,321","$428,963","$2,748,888",$0
467,Sherrod Brown,Democratic,Ohio,Senate,"$3,672,268","$2,884,655","$2,951,256",$0
468,Shontel Brown,Democratic,Ohio,House,"$4,522,424","$4,147,205","$414,847",$0
469,Stacey Plaskett,Democratic,Virgin Islands,Senate,"$920,408","$830,112","$152,483","$24,733"
470,Steny Hoyer,Democratic,Maryland,House,"$3,583,458","$3,534,293","$928,232",$764
471,Stephanie Bice,Republican,Oklahoma,House,"$2,185,504","$1,597,240","$799,854",$0
472,Stephanie Murphy,Democratic,Florida,House,"$1,111,888","$1,106,700","$1,417,204",$0
473,Stephen Lynch,Democratic,Massachusetts,House,"$714,987","$694,030","$1,234,341",$0
474,Steve Chabot,Republican,Ohio,House,"$1,731,244","$1,103,591","$678,565",$0
475,Steve Cohen,Democratic,Tennessee,House,"$509,828","$264,993","$1,460,953",$0
476,Steve Scalise,Republican,Louisiana,House,"$17,940,130","$19,428,130","$4,729,718",$0
477,Steve Womack,Republican,Arkansas,House,"$1,404,019","$808,587","$1,958,688",$0
478,Steve Daines,Republican,Montana,Senate,"$1,179,969","$529,216","$758,536","$44,813"
479,Steven Horsford,Democratic,Nevada,House,"$4,254,563","$3,481,983","$1,268,497","$2,375"
480,Steven Palazzo,Republican,Mississippi,House,"$1,048,457","$1,315,531","$33,954","$30,000"
481,Susan Collins,Republican,Maine,Senate,"$966,641","$687,093","$1,574,740",$0
482,Susan Wild,Democratic,Pennsylvania,House,"$5,771,483","$4,270,837","$1,579,342",$0
483,Susie Lee,Democratic,Nevada,House,"$5,420,136","$4,228,959","$1,219,881",$0
484,Suzan DelBene,Democratic,Washington,House,"$2,252,066","$2,045,946","$1,545,237","$495,000"
485,Suzanne Bonamici,Democratic,Oregon,House,"$918,476","$843,310","$628,512",$0
486,Sylvia Garcia,Democratic,Texas,House,"$836,909","$468,144","$616,363",$0
487,Tammy Baldwin,Democratic,Wisconsin,Senate,"$3,943,221","$3,155,369","$2,741,555",$0
488,Tammy Duckworth,Democratic,Illinois,Senate,"$13,588,871","$8,631,795","$7,631,025",$0
489,Ted Budd,Republican,North Carolina,House,"$11,030,158","$9,170,583","$2,930,574","$275,000"
490,Ted Cruz,Republican,Texas,Senate,"$17,471,712","$18,818,227","$3,248,487",$0
491,Ted Deutch,Democratic,Florida,House,"$309,658","$552,315","$217,159",$0
492,Ted Lieu,Democratic,California,House,"$1,323,092","$2,074,087","$1,193,368",$0
493,Teresa Leger Fernandez,Democratic,New Mexico,House,"$2,684,930","$1,812,604","$1,033,795",$0
494,Terri Sewell,Democratic,Alabama,House,"$2,093,425","$1,179,817","$3,157,088",$0
495,Thom Tillis,Republican,North Carolina,Senate,"$783,940","$882,010","$736,838",$0
496,Thomas Massie,Republican,Kentucky,House,"$973,980","$884,305","$209,059",$0
497,Tim Burchett,Republican,Tennessee,House,"$1,314,552","$970,838","$937,391","$13,803"
498,Tim Kaine,Democratic,Virginia,Senate,"$2,239,085","$832,884","$3,922,102",$0
499,Tim Ryan,Democratic,Ohio,House,"$38,334,636","$36,909,832","$1,424,804","$68,075"
500,Tim Scott,Republican,South Carolina,Senate,"$37,743,256","$23,876,921","$21,539,824",$0
501,Tim Walberg,Republican,Michigan,House,"$1,375,262","$1,018,729","$1,125,901",$0
502,Tina Smith,Democratic,Minnesota,Senate,"$1,418,349","$1,505,859","$714,245",$0
503,Todd Young,Republican,Indiana,Senate,"$10,055,406","$6,932,873","$5,501,025",$0
504,Tom Carper,Democratic,Delaware,Senate,"$697,627","$531,955","$470,019",$0
505,Tom Cole,Republican,Oklahoma,House,"$2,095,503","$2,000,560","$1,372,131",$0
506,Tom Cotton,Republican,Arkansas,Senate,"$4,637,570","$3,054,045","$7,980,477","$77,959"
507,Tom Emmer,Republican,Minnesota,House,"$3,893,173","$3,249,177","$1,092,835",$0
508,Tom Malinowski,Democratic,New Jersey,House,"$7,599,512","$4,867,489","$2,783,118",$0
509,Tom McClintock,Republican,California,House,"$1,509,014","$1,490,054","$189,780",$0
510,Tom O'Halleran,Democratic,Arizona,House,"$3,688,187","$1,911,807","$1,839,527",$0
511,Tom Rice,Republican,South Carolina,House,"$1,587,079","$2,296,616","$411,817",$0
512,Tom Suozzi,Democratic,New York,House,"$1,548,007","$3,393,860","$109,143","$30,379"
513,Tom Tiffany,Republican,Wisconsin,House,"$1,037,497","$801,275","$358,941",$0
514,Tommy Tuberville,Republican,Alabama,Senate,"$881,479","$900,339","$154,620","$162,914"
515,Tony C치rdenas,Democratic,California,House,"$1,393,256","$1,313,142","$609,903",$0
516,Tony Gonzales,Republican,Texas,House,"$3,851,900","$2,657,423","$1,225,835",$0
517,Tracey Mann,Republican,Kansas,House,"$1,144,309","$313,482","$1,107,024","$197,611"
518,Trent Kelly,Republican,Mississippi,House,"$959,008","$848,201","$339,101",$0
519,Trey Hollingsworth,Republican,Indiana,House,"$354,993","$192,082","$835,855","$576,083"
520,Troy Balderson,Republican,Ohio,House,"$1,752,943","$801,443","$994,549",$0
521,Troy Carter,Democratic,Louisiana,House,"$2,904,436","$2,667,808","$615,058","$94,686"
522,Troy Nehls,Republican,Texas,House,"$1,247,447","$798,676","$467,977","$5,726"
523,Val Demings,Democratic,Florida,House,"$64,682,883","$58,806,664","$6,647,641",$0
524,Van Taylor,Republican,Texas,House,"$2,353,035","$2,368,614","$6,919","$1,088,192"
525,Vernon Buchanan,Republican,Florida,House,"$3,664,655","$1,728,747","$2,008,993",$0
526,Veronica Escobar,Democratic,Texas,House,"$1,166,742","$940,660","$510,937",$0
527,Vicente Gonzalez,Democratic,Texas,House,"$2,492,127","$3,042,545","$820,074",$0
528,Vicky Hartzler,Republican,Missouri,House,"$2,992,372","$3,572,065","$65,738","$57,607"
529,Victoria Spartz,Republican,Indiana,House,"$3,612,075","$2,138,185","$1,583,013","$1,137,000"
530,Virginia Foxx,Republican,North Carolina,House,"$1,929,971","$1,651,369","$2,619,486",$0
531,Warren Davidson,Republican,Ohio,House,"$871,656","$906,552","$369,819",$0
532,William Timmons,Republican,South Carolina,House,"$892,064","$823,955","$76,799","$391,742"
533,Young Kim,Republican,California,House,"$7,900,497","$7,380,035","$928,803","$94,940"
534,Yvette Clarke,Democratic,New York,House,"$684,268","$662,375","$93,513","$49,480"
535,Yvette Herrell,Republican,New Mexico,House,"$3,777,731","$2,746,661","$1,085,613",$0
536,Zoe Lofgren,Democratic,California,House,"$1,679,466","$2,103,190","$736,813",$0
